Flight ID,Demand Type,Runway,WVC,Scheduled,Averaged Actual,Minimum Actual,Maximum Actual,Average Delay [s],,,Flow,Delay,AvDelay,Demand,,
B744,ARRIVAL,27R,H,1:06:47:58,1:06:50:11,1:06:50:11,1:06:50:11,133,110878,111011,34,133,320.558823529412,36,2,43
B772,ARRIVAL,27R,H,1:06:49:52,1:06:52:01,1:06:52:01,1:06:52:01,129,110992,111121,33,129,326.242424242424,36,3,44
B772,ARRIVAL,27R,H,1:06:51:15,1:06:53:51,1:06:53:51,1:06:53:51,156,111075,111231,34,156,332.764705882353,36,2,45
B772,ARRIVAL,27R,H,1:06:53:08,1:06:55:41,1:06:55:41,1:06:55:41,153,111188,111341,34,153,337.735294117647,36,2,46
B764,ARRIVAL,27R,H,1:06:54:44,1:06:57:31,1:06:57:31,1:06:57:31,167,111284,111451,35,167,342,37,2,47
A388,ARRIVAL,27R,A380-800,1:06:56:11,1:07:00:43,1:07:00:43,1:07:00:43,272,111371,111643,36,272,345.722222222222,36,0,48
A343,ARRIVAL,27R,H,1:06:58:08,1:07:03:15,1:07:03:15,1:07:03:15,307,111488,111795,37,307,345.135135135135,37,0,49
B744,ARRIVAL,27R,H,1:06:59:18,1:07:05:05,1:07:05:05,1:07:05:05,347,111558,111905,37,347,345.135135135135,37,0,50
B763,ARRIVAL,27R,H,1:07:01:04,1:07:06:55,1:07:06:55,1:07:06:55,351,111664,112015,37,351,344.162162162162,36,-1,51
A319,ARRIVAL,27R,LM,1:07:04:08,1:07:09:08,1:07:09:08,1:07:09:08,300,111848,112148,38,300,341.894736842105,37,-1,52
B772,ARRIVAL,27R,H,1:07:05:06,1:07:10:24,1:07:10:24,1:07:10:24,318,111906,112224,37,318,343.027027027027,37,0,53
B744,ARRIVAL,27R,H,1:07:06:11,1:07:12:14,1:07:12:14,1:07:12:14,363,111971,112334,38,363,341.868421052632,37,-1,54
B763,ARRIVAL,27R,H,1:07:07:56,1:07:14:04,1:07:14:04,1:07:14:04,368,112076,112444,38,368,340.447368421053,38,0,55
B77W,ARRIVAL,27R,H,1:07:09:49,1:07:15:54,1:07:15:54,1:07:15:54,365,112189,112554,38,365,337.973684210526,37,-1,56
A346,ARRIVAL,27R,H,1:07:11:22,1:07:17:44,1:07:17:44,1:07:17:44,382,112282,112664,38,382,337.236842105263,38,0,57
B764,ARRIVAL,27R,H,1:07:13:21,1:07:19:34,1:07:19:34,1:07:19:34,373,112401,112774,38,373,336,38,0,58
B772,ARRIVAL,27R,H,1:07:15:17,1:07:21:24,1:07:21:24,1:07:21:24,367,112517,112884,38,367,335.473684210526,38,0,59
A332,ARRIVAL,27R,H,1:07:17:15,1:07:23:14,1:07:23:14,1:07:23:14,359,112635,112994,39,359,334.846153846154,39,0,60
B763,ARRIVAL,27R,H,1:07:18:55,1:07:25:04,1:07:25:04,1:07:25:04,369,112735,113104,39,369,334.358974358974,39,0,61
B772,ARRIVAL,27R,H,1:07:21:11,1:07:26:54,1:07:26:54,1:07:26:54,343,112871,113214,39,343,333.333333333333,39,0,62
B738,ARRIVAL,27R,LM,1:07:23:06,1:07:29:07,1:07:29:07,1:07:29:07,361,112986,113347,39,361,332.692307692308,38,-1,63
A320,ARRIVAL,27R,LM,1:07:24:28,1:07:30:25,1:07:30:25,1:07:30:25,357,113068,113425,39,357,332.102564102564,39,0,64
B752,ARRIVAL,27R,H,1:07:26:04,1:07:31:41,1:07:31:41,1:07:31:41,337,113164,113501,39,337,331.897435897436,39,0,65
B744,ARRIVAL,27R,H,1:07:27:08,1:07:33:31,1:07:33:31,1:07:33:31,383,113228,113611,39,383,331.589743589744,39,0,66
A319,ARRIVAL,27R,LM,1:07:29:26,1:07:35:44,1:07:35:44,1:07:35:44,378,113366,113744,39,378,330.589743589744,39,0,67
B77W,ARRIVAL,27R,H,1:07:30:49,1:07:37:00,1:07:37:00,1:07:37:00,371,113449,113820,39,371,329.307692307692,39,0,68
A333,ARRIVAL,27R,H,1:07:32:55,1:07:38:50,1:07:38:50,1:07:38:50,355,113575,113930,40,355,327.025,39,-1,69
B744,ARRIVAL,27R,H,1:07:34:43,1:07:40:40,1:07:40:40,1:07:40:40,357,113683,114040,40,357,325.125,39,-1,70
A320,ARRIVAL,27R,LM,1:07:37:18,1:07:42:53,1:07:42:53,1:07:42:53,335,113838,114173,41,335,322.365853658537,40,-1,71
A321,ARRIVAL,27R,LM,1:07:38:09,1:07:44:11,1:07:44:11,1:07:44:11,362,113889,114251,41,362,321.292682926829,40,-1,72
A320,ARRIVAL,27R,LM,1:07:39:23,1:07:45:29,1:07:45:29,1:07:45:29,366,113963,114329,40,366,320.275,40,0,73
A319,ARRIVAL,27R,LM,1:07:41:29,1:07:46:47,1:07:46:47,1:07:46:47,318,114089,114407,40,318,318.45,40,0,74
B772,ARRIVAL,27R,H,1:07:42:15,1:07:48:03,1:07:48:03,1:07:48:03,348,114135,114483,40,348,317.475,39,-1,75
A333,ARRIVAL,27R,H,1:07:44:04,1:07:49:53,1:07:49:53,1:07:49:53,349,114244,114593,41,349,315.390243902439,40,-1,76
A319,ARRIVAL,27R,LM,1:07:46:16,1:07:52:06,1:07:52:06,1:07:52:06,350,114376,114726,41,350,313.780487804878,40,-1,77
A319,ARRIVAL,27R,LM,1:07:47:57,1:07:53:24,1:07:53:24,1:07:53:24,327,114477,114804,40,327,312.875,40,0,78
A320,ARRIVAL,27R,LM,1:07:49:17,1:07:54:42,1:07:54:42,1:07:54:42,325,114557,114882,40,325,311.825,40,0,79
A319,ARRIVAL,27R,LM,1:07:50:26,1:07:56:00,1:07:56:00,1:07:56:00,334,114626,114960,40,334,311.025,40,0,80
A321,ARRIVAL,27R,LM,1:07:52:12,1:07:57:18,1:07:57:18,1:07:57:18,306,114732,115038,40,306,309.05,39,-1,81
A319,ARRIVAL,27R,LM,1:07:53:15,1:07:58:36,1:07:58:36,1:07:58:36,321,114795,115116,40,321,308.075,39,-1,82
A320,ARRIVAL,27R,LM,1:07:54:32,1:07:59:54,1:07:59:54,1:07:59:54,322,114872,115194,40,322,307.075,40,0,83
B733,ARRIVAL,27R,LM,1:07:56:29,1:08:01:12,1:08:01:12,1:08:01:12,283,114989,115272,40,283,305.65,40,0,84
B772,ARRIVAL,27R,H,1:07:57:15,1:08:02:28,1:08:02:28,1:08:02:28,313,115035,115348,39,313,306.230769230769,40,1,85
A333,ARRIVAL,27R,H,1:07:59:11,1:08:04:18,1:08:04:18,1:08:04:18,307,115151,115458,40,307,307.575,40,0,86
A321,ARRIVAL,27R,LM,1:08:01:20,1:08:06:31,1:08:06:31,1:08:06:31,311,115280,115591,41,311,307.707317073171,41,0,87
A319,ARRIVAL,27R,LM,1:08:02:35,1:08:07:49,1:08:07:49,1:08:07:49,314,115355,115669,41,314,307.560975609756,40,-1,88
A320,ARRIVAL,27R,LM,1:08:04:12,1:08:09:07,1:08:09:07,1:08:09:07,295,115452,115747,41,295,307.487804878049,41,0,89
A320,ARRIVAL,27R,LM,1:08:05:16,1:08:10:25,1:08:10:25,1:08:10:25,309,115516,115825,40,309,307.8,40,0,90
A319,ARRIVAL,27R,LM,1:08:06:35,1:08:11:43,1:08:11:43,1:08:11:43,308,115595,115903,40,308,307.275,40,0,91
B744,ARRIVAL,27R,H,1:08:07:50,1:08:12:59,1:08:12:59,1:08:12:59,309,115670,115979,40,309,305.1,39,-1,92
B772,ARRIVAL,27R,H,1:08:10:15,1:08:14:49,1:08:14:49,1:08:14:49,274,115815,116089,39,274,305,39,0,93
B763,ARRIVAL,27R,H,1:08:11:02,1:08:16:39,1:08:16:39,1:08:16:39,337,115862,116199,40,337,301.625,38,-2,94
A320,ARRIVAL,27R,LM,1:08:13:17,1:08:18:52,1:08:18:52,1:08:18:52,335,115997,116332,41,335,296.048780487805,39,-2,95
A320,ARRIVAL,27R,LM,1:08:14:17,1:08:20:10,1:08:20:10,1:08:20:10,353,116057,116410,40,353,295.075,38,-2,96
A319,ARRIVAL,27R,LM,1:08:15:58,1:08:21:28,1:08:21:28,1:08:21:28,330,116158,116488,40,330,291.425,39,-1,97
B763,ARRIVAL,27R,H,1:08:16:56,1:08:22:44,1:08:22:44,1:08:22:44,348,116216,116564,39,348,290.435897435897,38,-1,98
B763,ARRIVAL,27R,H,1:08:18:54,1:08:24:34,1:08:24:34,1:08:24:34,340,116334,116674,40,340,285.475,38,-2,99
A333,ARRIVAL,27R,H,1:08:20:55,1:08:26:24,1:08:26:24,1:08:26:24,329,116455,116784,40,329,281.425,39,-1,100
A320,ARRIVAL,27R,LM,1:08:23:19,1:08:28:37,1:08:28:37,1:08:28:37,318,116599,116917,41,318,277.19512195122,40,-1,101
A320,ARRIVAL,27R,LM,1:08:24:17,1:08:29:55,1:08:29:55,1:08:29:55,338,116657,116995,41,338,273.609756097561,39,-2,102
B736,ARRIVAL,27R,LM,1:08:25:24,1:08:31:13,1:08:31:13,1:08:31:13,349,116724,117073,41,349,269.975609756098,39,-2,103
A321,ARRIVAL,27R,LM,1:08:27:06,1:08:32:31,1:08:32:31,1:08:32:31,325,116826,117151,40,325,268,39,-1,104
B763,ARRIVAL,27R,H,1:08:28:03,1:08:33:47,1:08:33:47,1:08:33:47,344,116883,117227,40,344,264.55,39,-1,105
A320,ARRIVAL,27R,LM,1:08:30:32,1:08:36:00,1:08:36:00,1:08:36:00,328,117032,117360,41,328,259.707317073171,39,-2,106
A319,ARRIVAL,27R,LM,1:08:32:27,1:08:37:18,1:08:37:18,1:08:37:18,291,117147,117438,40,291,258,39,-1,107
A320,ARRIVAL,27R,LM,1:08:33:18,1:08:38:36,1:08:38:36,1:08:38:36,318,117198,117516,40,318,256.075,39,-1,108
A320,ARRIVAL,27R,LM,1:08:35:15,1:08:39:54,1:08:39:54,1:08:39:54,279,117315,117594,40,279,252.875,39,-1,109
A320,ARRIVAL,27R,LM,1:08:36:20,1:08:41:12,1:08:41:12,1:08:41:12,292,117380,117672,40,292,251.15,39,-1,110
A320,ARRIVAL,27R,LM,1:08:37:53,1:08:42:30,1:08:42:30,1:08:42:30,277,117473,117750,40,277,249.475,39,-1,111
B77W,ARRIVAL,27R,H,1:08:38:55,1:08:43:46,1:08:43:46,1:08:43:46,291,117535,117826,40,291,247.525,39,-1,112
A321,ARRIVAL,27R,LM,1:08:41:06,1:08:45:59,1:08:45:59,1:08:45:59,293,117666,117959,40,293,245.025,39,-1,113
A319,ARRIVAL,27R,LM,1:08:42:38,1:08:47:17,1:08:47:17,1:08:47:17,279,117758,118037,40,279,241.825,39,-1,114
A320,ARRIVAL,27R,LM,1:08:43:37,1:08:48:35,1:08:48:35,1:08:48:35,298,117817,118115,39,298,240.871794871795,38,-1,115
B772,ARRIVAL,27R,H,1:08:45:09,1:08:49:51,1:08:49:51,1:08:49:51,282,117909,118191,39,282,237.871794871795,38,-1,116
B763,ARRIVAL,27R,H,1:08:46:58,1:08:51:41,1:08:51:41,1:08:51:41,283,118018,118301,39,283,236.051282051282,39,0,117
A321,ARRIVAL,27R,LM,1:08:49:09,1:08:53:54,1:08:53:54,1:08:53:54,285,118149,118434,39,285,234,39,0,118
A320,ARRIVAL,27R,LM,1:08:50:19,1:08:55:12,1:08:55:12,1:08:55:12,293,118219,118512,39,293,231.923076923077,38,-1,119
A320,ARRIVAL,27R,LM,1:08:52:15,1:08:56:30,1:08:56:30,1:08:56:30,255,118335,118590,39,255,229.538461538462,38,-1,120
A319,ARRIVAL,27R,LM,1:08:53:21,1:08:57:48,1:08:57:48,1:08:57:48,267,118401,118668,39,267,228.307692307692,38,-1,121
A319,ARRIVAL,27R,LM,1:08:54:25,1:08:59:06,1:08:59:06,1:08:59:06,281,118465,118746,39,281,227.076923076923,38,-1,122
B744,ARRIVAL,27R,H,1:08:55:57,1:09:00:22,1:09:00:22,1:09:00:22,265,118557,118822,38,265,225.657894736842,38,0,123
B739,ARRIVAL,27R,LM,1:08:56:58,1:09:02:35,1:09:02:35,1:09:02:35,337,118618,118955,38,337,224.973684210526,38,0,124
A321,ARRIVAL,27R,LM,1:08:58:17,1:09:03:53,1:09:03:53,1:09:03:53,336,118697,119033,38,336,222,37,-1,125
A320,ARRIVAL,27R,LM,1:09:00:12,1:09:05:11,1:09:05:11,1:09:05:11,299,118812,119111,38,299,219.552631578947,38,0,126
A320,ARRIVAL,27R,LM,1:09:01:08,1:09:06:29,1:09:06:29,1:09:06:29,321,118868,119189,38,321,217.684210526316,37,-1,127
A320,ARRIVAL,27R,LM,1:09:02:42,1:09:07:47,1:09:07:47,1:09:07:47,305,118962,119267,37,305,214.891891891892,37,0,128
B744,ARRIVAL,27R,H,1:09:03:52,1:09:09:03,1:09:09:03,1:09:09:03,311,119032,119343,37,311,211.513513513513,36,-1,129
