Flow,Delay,AvDelay,Demand,Delayed Flights,n
39,241,258.820512820513,39,0,171
39,267,260.717948717949,40,1,172
39,255,262.282051282051,40,1,173
39,279,264.897435897436,40,1,174
38,297,264.526315789474,39,1,175
38,296,266.657894736842,38,0,176
38,266,267.526315789474,39,1,177
38,300,269.368421052632,38,0,178
38,265,269.921052631579,39,1,179
38,275,271.657894736842,38,0,180
38,317,273.210526315789,38,0,181
38,326,273.973684210526,38,0,182
38,296,274.368421052632,38,0,183
37,297,273.783783783784,37,0,184
37,228,273.864864864865,38,1,185
37,258,276.243243243243,38,1,186
37,254,277.594594594595,38,1,187
37,238,279.621621621622,38,1,188
37,229,283.513513513513,39,2,189
38,235,289.315789473684,39,1,190
37,245,290.783783783784,39,2,191
37,257,296.351351351351,38,1,192
37,230,301.594594594595,38,1,193
36,253,303.583333333333,38,2,194
36,263,308.111111111111,38,2,195
36,261,312.555555555556,38,2,196
37,251,320.72972972973,38,1,197
36,231,322.666666666667,38,2,198
36,240,328.111111111111,38,2,199
36,251,333.194444444444,37,1,200
36,258,338.083333333333,38,2,201
36,238,341.833333333333,38,2,202
36,221,346.777777777778,38,2,203
36,231,352.388888888889,38,2,204
36,248,358.333333333333,38,2,205
36,236,364,38,2,206
36,239,369.861111111111,39,3,207
36,224,375.75,39,3,208
37,298,383.216216216216,38,1,209
37,315,387.135135135135,38,1,210
36,328,389.138888888889,37,1,211
37,357,392.756756756757,38,1,212
37,378,394.810810810811,38,1,213
38,329,396.5,39,1,214
38,336,398.842105263158,39,1,215
38,321,401.684210526316,39,1,216
37,331,403.864864864865,38,1,217
38,334,406.868421052632,39,1,218
38,346,409.078947368421,39,1,219
38,341,411.526315789474,39,1,220
38,300,414.052631578947,40,2,221
38,316,417.605263157895,39,1,222
38,308,421.631578947368,39,1,223
38,329,425.947368421053,39,1,224
38,382,429.105263157895,39,1,225
38,357,431.263157894737,39,1,226
38,376,434.289473684211,39,1,227
39,451,435.897435897436,39,0,228
39,451,436.076923076923,39,0,229
39,416,436.153846153846,40,1,230
39,423,436.871794871795,39,0,231
38,441,437.236842105263,38,0,232
39,435,437.410256410256,39,0,233
39,427,437.128205128205,39,0,234
40,423,436.35,40,0,235
40,427,436.1,40,0,236
40,393,435.775,40,0,237
40,416,435.675,40,0,238
40,423,434.975,40,0,239
40,445,434.3,39,-1,240
40,452,432.725,39,-1,241
40,447,431.025,40,0,242
40,451,427.475,39,-1,243
40,421,425.125,40,0,244
40,455,424.6,40,0,245
40,443,423.45,40,0,246
41,450,420.829268292683,40,-1,247
41,401,419.195121951219,41,0,248
41,433,418.975609756098,40,-1,249
41,434,417.658536585366,40,-1,250
41,403,416.658536585366,41,0,251
41,418,416.658536585366,41,0,252
41,444,416.560975609756,40,-1,253
41,447,415.439024390244,41,0,254
41,402,414.170731707317,41,0,255
41,418,414.121951219512,41,0,256
41,439,413.146341463415,41,0,257
42,437,412.238095238095,42,0,258
42,435,411.380952380952,41,-1,259
42,469,410.761904761905,41,-1,260
42,472,409.47619047619,42,0,261
42,449,407.666666666667,41,-1,262
42,464,406.452380952381,41,-1,263
42,472,404.880952380952,41,-1,264
42,440,403.571428571429,41,-1,265
42,433,402.738095238095,41,-1,266
41,458,402,41,0,267
41,454,400.219512195122,41,0,268
41,444,398.268292682927,40,-1,269
42,434,397.02380952381,42,0,270
42,451,395.690476190476,41,-1,271
42,424,393.738095238095,41,-1,272
41,433,393,41,0,273
41,400,391.073170731707,40,-1,274
41,413,390.609756097561,40,-1,275
41,414,390.048780487805,40,-1,276
41,389,388.731707317073,40,-1,277
41,388,388.317073170732,41,0,278
41,396,387.926829268293,41,0,279
42,382,386.52380952381,41,-1,280
41,384,386.634146341463,41,0,281
41,305,386.268292682927,41,0,282
40,357,388.3,41,1,283
40,400,389.05,40,0,284
40,409,389.175,40,0,285
41,395,387.80487804878,41,0,286
41,364,387.439024390244,42,1,287
41,383,388.292682926829,41,0,288
41,392,388.926829268293,41,0,289
40,379,388.85,40,0,290
40,393,389.325,40,0,291
40,403,389.775,40,0,292
40,414,389.45,40,0,293
40,398,388.825,40,0,294
40,395,388.15,40,0,295
40,400,387.8,40,0,296
40,378,386.325,40,0,297
40,403,386.775,40,0,298
39,411,386.358974358974,39,0,299
39,401,385.897435897436,39,0,300
40,409,386.5,40,0,301
40,415,386.875,40,0,302
40,396,387.225,40,0,303
40,398,388.175,40,0,304
40,398,388.4,40,0,305
40,417,388.8,40,0,306
40,405,389.05,40,0,307
40,385,389.1,41,1,308
41,374,391,42,1,309
41,384,392.365853658537,41,0,310
40,406,392.575,41,1,311
40,378,392.9,40,0,312
40,369,393.875,40,0,313
40,354,394.875,41,1,314
40,381,396.325,40,0,315
40,390,396.475,40,0,316
40,360,396.675,41,1,317
40,372,397.75,40,0,318
40,372,398.725,41,1,319
40,348,400.125,40,0,320
39,377,401.461538461539,40,1,321
39,369,404.435897435898,39,0,322
38,387,405.368421052632,40,2,323
38,405,408.236842105263,40,2,324
38,364,410.184210526316,40,2,325
38,378,413.447368421053,39,1,326
38,380,416.605263157895,39,1,327
38,399,420.105263157895,38,0,328
37,409,420.675675675676,38,1,329
38,398,425.526315789474,39,1,330
38,411,428.868421052632,38,0,331
37,390,429.351351351351,39,2,332
37,389,432.378378378378,38,1,333
37,371,435.72972972973,39,2,334
37,381,438.486486486487,38,1,335
37,341,441.972972972973,38,1,336
37,396,446.594594594595,38,1,337
38,393,450.21052631579,40,2,338
38,399,453.473684210526,39,1,339
38,412,457.052631578947,39,1,340
37,424,458.27027027027,38,1,341
38,429,460.947368421053,38,0,342
38,434,460.184210526316,38,0,343
38,407,459.236842105263,38,0,344
38,414,458.736842105263,38,0,345
38,427,458,38,0,346
38,407,457,38,0,347
38,420,456.184210526316,38,0,348
38,432,455.421052631579,38,0,349
38,430,454.789473684211,38,0,350
38,419,454.157894736842,38,0,351
38,417,453.868421052632,38,0,352
39,409,453.128205128205,39,0,353
39,412,452.512820512821,40,1,354
39,387,452.769230769231,40,1,355
39,398,453.589743589744,39,0,356
39,403,453.589743589744,39,0,357
39,411,453.512820512821,39,0,358
39,428,452.794871794872,38,-1,359
40,493,451.55,39,-1,360
41,496,447.658536585366,40,-1,361
41,479,445.19512195122,40,-1,362
41,488,443.560975609756,40,-1,363
42,498,440.571428571429,41,-1,364
41,513,439.170731707317,41,0,365
42,513,435.642857142857,40,-2,366
42,501,433.52380952381,41,-1,367
42,525,431.357142857143,41,-1,368
43,502,428.255813953488,42,-1,369
43,513,425.604651162791,42,-1,370
43,473,423.325581395349,42,-1,371
43,510,422.186046511628,42,-1,372
43,512,419.627906976744,42,-1,373
43,483,416.976744186047,42,-1,374
43,497,414.790697674419,42,-1,375
43,517,411.953488372093,41,-2,376
43,535,408.906976744186,41,-2,377
44,589,405.931818181818,41,-3,378
44,395,400.863636363636,43,-1,379
44,400,400.704545454545,43,-1,380
44,398,400.613636363636,43,-1,381
44,388,399.545454545455,43,-1,382
44,386,399.340909090909,43,-1,383
44,389,398.295454545455,43,-1,384
44,376,397.727272727273,43,-1,385
44,391,397.954545454545,43,-1,386
43,408,398.116279069767,43,0,387
44,406,396.704545454545,43,-1,388
45,408,395.644444444444,44,-1,389
45,412,395.622222222222,45,0,390
45,430,394.777777777778,44,-1,391
45,385,393.577777777778,44,-1,392
45,422,393.488888888889,44,-1,393
45,419,392.555555555556,44,-1,394
44,398,391.954545454545,45,1,395
44,400,392.772727272727,45,1,396
44,383,394.454545454545,45,1,397
44,420,395.840909090909,44,0,398
44,411,396.340909090909,45,1,399
44,402,396.931818181818,44,0,400
44,383,397.772727272727,44,0,401
43,395,398.116279069767,43,0,402
43,412,398.046511627907,43,0,403
43,416,398.395348837209,43,0,404
42,390,397.97619047619,43,1,405
43,382,399.232558139535,44,1,406
43,422,400.162790697674,43,0,407
43,424,399.418604651163,43,0,408
42,410,398.833333333333,43,1,409
42,401,401.595238095238,42,0,410
41,422,401.609756097561,42,1,411
40,388,401.1,41,1,412
40,415,404.025,41,1,413
40,424,405.2,41,1,414
40,400,406.35,42,2,415
41,398,410.317073170732,42,1,416
40,389,410.625,43,3,417
40,375,415.1,42,2,418
40,386,419.35,42,2,419
40,397,423.5,41,1,420
40,416,425.425,40,0,421
40,366,425.3,41,1,422
40,388,426.925,41,1,423
40,396,428.3,40,0,424
40,351,427.575,41,1,425
40,379,428.15,40,0,426
40,340,427.85,41,1,427
40,364,428.725,40,0,428
40,386,428.475,39,-1,429
40,395,427,39,-1,430
